"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"67","GB50837",798,764,1209,1487,1256,479,701,448,313,559,132,476,0.638321227611477,6.33541199412389,3.65654677884316,0.00269941478232515,0.681615499910635,-3.99935451751606
"68","GB50860",17,13,31,30,25,15,18,4,5,3,3,8,1.20648085414844,0.596333616723237,3.32870998844142,0.00513506303911102,0.681615499910635,-4.43431107670915
"69","GB50885",677,629,1008,720,895,523,942,555,633,1102,368,1022,-0.595759598805054,6.59524649456624,-3.19495064146179,0.0066793951596825,0.681615499910635,-4.10479124505564
"70","GB51088",359,444,536,532,600,223,608,296,501,685,310,526,-0.749299757209267,5.90093183933335,-3.76543063295585,0.00218245437251841,0.681615499910635,-3.92919548381322
"71","GB51418",29,49,84,123,59,23,43,30,8,21,7,10,1.09746132336345,1.97445672476003,3.32496134785531,0.00517303791360388,0.681615499910635,-4.35591220345088
"72","GB51741",995,1523,728,1283,1942,757,1523,802,2046,2683,999,1699,-1.03706535423599,7.44653734883134,-3.07987252748716,0.00837385106314213,0.681615499910635,-4.19228547559394
"73","GB51772",70,111,185,101,86,43,71,27,10,67,11,48,0.898573971956112,2.81239036958854,3.11382994124264,0.00783364178442674,0.681615499910635,-4.308118845143
"74","GB51814",2646,2493,3974,8756,8361,489,739,522,391,1562,254,240,1.99109609474992,7.37925521514652,4.23087202692243,0.00088807280035086,0.681615499910635,-4.01192686115794
"75","GB52002",44,79,131,79,106,37,64,26,7,45,9,32,0.934033354078699,2.4770238509075,3.13691451277955,0.00748632681307694,0.681615499910635,-4.33534204481894
"76","GB52171",10,25,41,40,62,12,7,25,2,7,4,1,1.76293493195268,0.679042175061093,3.19143329628639,0.0067257325516512,0.681615499910635,-4.44067202249175
"77","GB52618",290,402,731,604,542,236,472,164,102,297,73,165,0.654462876713562,5.20563657581071,3.58113460426531,0.00312872777550243,0.681615499910635,-3.98254318298245
"78","GB52694",148,211,247,260,256,99,244,154,155,286,76,187,-0.421914691915068,4.60061321618434,-3.00439206888563,0.00971060282191834,0.681615499910635,-4.1224002921291
"79","GB52701",634,507,887,1265,709,337,680,295,243,292,123,257,0.63905399397598,5.84631513602229,3.19275413758957,0.00670829435511153,0.681615499910635,-4.0749075905282
"80","GB52796",107,165,137,160,125,79,176,119,112,157,60,123,-0.523166913837562,4.0311538514964,-3.2403131399984,0.00610958117234236,0.681615499910635,-4.12875059719522
"81","GB53296",88,78,113,184,139,43,84,46,10,61,14,28,0.955723834122415,2.90377242348996,3.29261641352921,0.00551261567374105,0.681615499910635,-4.27591630508607
"82","GB53517",203,219,379,207,480,129,197,75,26,177,34,89,0.956935570776872,4.20744561719783,3.18192092901712,0.00685266030164726,0.681615499910635,-4.15283343991743
"83","GB53725",1165,1211,2051,1634,2069,700,1422,663,377,1039,270,652,0.522895051160516,6.96911829124127,3.07567763783756,0.00844310209180324,0.681615499910635,-4.1627227772982
"84","GB53726",553,645,852,788,492,417,681,522,435,923,295,944,-0.564296936645929,6.31673623329098,-3.01161301885202,0.00957407251650306,0.681615499910635,-4.12718318773702
"85","GB53996",77,145,266,215,175,76,160,53,27,58,19,64,0.846404788805422,3.51630935591835,3.26026594683071,0.00587457830972001,0.681615499910635,-4.20999750584536
"86","GB54030",84,74,130,174,126,45,110,27,41,36,14,31,0.827332346003772,2.97928532277188,3.06168345952053,0.00867826031181029,0.681615499910635,-4.29782554869727
"87","GB54341",514,517,882,765,792,322,653,278,149,505,119,208,0.559965216806412,5.73597528400112,3.05082105141586,0.00886526089178015,0.681615499910635,-4.10346683583981
"88","GB54496",581,706,963,1338,1097,275,675,300,110,476,77,131,1.08419016327351,5.74826332830979,3.53954065338,0.00339443117866553,0.681615499910635,-4.01012765267985
"89","GB54778",271,240,357,548,244,137,200,129,65,146,24,61,1.0152103059907,4.35489244946986,4.17456899451515,0.000989137572407844,0.681615499910635,-3.95756821666779
"90","GB54998",1002,639,1201,818,863,398,682,353,174,316,127,300,0.843696098613735,5.97044311352059,3.96086988182339,0.00149298144291445,0.681615499910635,-3.92169901647827
"91","GB55220",1612,1443,1414,1914,2121,948,1834,1049,1631,2904,1031,1916,-0.709617349599785,7.71861274027482,-3.03936297788885,0.00906684650807923,0.681615499910635,-4.21799851560385
"92","GB55469",99,118,347,396,239,87,201,79,7,58,19,23,1.52346957106325,3.47779030974538,3.20806208235933,0.00650945442250364,0.681615499910635,-4.24153770518306
"93","GB55500",81,70,70,64,60,17,58,8,10,40,6,9,1.14812581582406,1.9601481569857,3.03992107548844,0.00905692329787502,0.681615499910635,-4.38606835294784
"94","GB55514",1143,979,1536,1366,1777,622,1263,492,350,749,194,514,0.625734104226855,6.68595983953833,3.42565010568841,0.00424450184087444,0.681615499910635,-4.07120974806933
"95","GB55585",40,67,99,198,101,27,57,33,13,36,7,13,1.1686111666576,2.40393847880205,3.3397997163872,0.00502434936954802,0.681615499910635,-4.31995422476932
"96","GB55586",47,43,178,73,178,34,30,19,6,27,10,6,1.82921402767311,2.10562198832819,4.07300480357546,0.00120231476926142,0.681615499910635,-4.28594311725115
"97","GB55618",65,48,168,158,135,23,90,15,6,18,7,15,1.67678636261267,2.28302091936567,3.76453018701074,0.00218628844033298,0.681615499910635,-4.29394873318261
"98","GB55781",1250,932,1475,1399,1823,425,853,285,217,845,130,684,0.867281282681695,6.47688282323251,3.10548203318679,0.00796314467477814,0.681615499910635,-4.12914134415439
"99","GB55819",32,15,15,58,13,12,18,16,0,2,1,0,2.37739386264616,-0.0369318147504288,3.10609349495458,0.00795358713887494,0.681615499910635,-4.46122706701295
"100","GB55965",384,456,653,470,414,382,928,319,519,684,521,914,-1.0589534210194,6.13365336632783,-3.95389380278524,0.00151327983714758,0.681615499910635,-3.90824049355347
