"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"59","GB49078",19,25,18,83,14,31,60,73,315,62,29,84,-1.39749416597571,2.5825847257508,-2.70070840661869,0.017649335009008,0.906423473791415,-4.33458732604721
"60","GB49219",100,1,2,6,28,6,187,411,267,63,155,10,-3.49105714046893,2.05731726067126,-2.82072097855631,0.0139828628511385,0.906423473791415,-4.37933043575442
"61","GB49287",34,73,19,50,39,82,92,75,118,141,58,231,-1.1373908762992,3.19881385700937,-2.77148903541062,0.0153867431196999,0.906423473791415,-4.26274871799426
"62","GB49363",29,32,39,40,30,34,33,97,97,65,59,159,-1.05611523234651,2.75414488570051,-4.21752903203088,0.000923988459471157,0.906423473791415,-4.09163478678052
"63","GB50076",1188,1251,1593,2311,1480,1784,1328,3338,2908,3078,2024,4427,-0.615331512690394,8.07131962488826,-3.22121999755477,0.00639108389020242,0.906423473791415,-4.12720353254388
"64","GB50105",302,283,470,669,456,443,368,934,871,451,554,878,-0.444673750509979,6.09076113367541,-2.71635431187305,0.0171228118370591,0.906423473791415,-4.10089937442724
"65","GB50124",762,642,752,898,542,656,616,634,557,443,541,507,0.498019360622318,6.35064703798999,2.79003894146364,0.0148422825070415,0.906423473791415,-4.09554088183079
"66","GB50423",80265,5106,22270,44718,13347,10578,4831,3922,9799,5981,5870,394,2.48729304508146,10.1361958134562,3.01650153753527,0.00954329502115803,0.906423473791415,-4.29778233927689
"67","GB50439",313,256,483,778,354,617,480,959,968,816,811,1573,-0.875250180782086,6.34867406697523,-4.03158456212585,0.00131902676943788,0.906423473791415,-3.77300007734479
"68","GB50451",29,13,15,32,29,32,44,54,65,28,30,56,-0.735265650103852,2.10964038606669,-2.94401480945722,0.0109957205566557,0.906423473791415,-4.33230484488509
"69","GB50505",42,37,68,88,70,121,61,172,213,160,106,172,-0.917062809611064,3.65052450961387,-3.61386305739011,0.00296381137799529,0.906423473791415,-4.03030019384924
"70","GB50531",50,90,121,111,107,116,96,211,223,151,125,153,-0.552655763765996,4.00245792383465,-2.70082287641776,0.0176454261345662,0.906423473791415,-4.17946045897379
"71","GB50677",7,6,7,12,2,11,11,17,13,19,11,21,-0.953743907756855,0.465163381575818,-2.75697091425338,0.0158264487973908,0.906423473791415,-4.44755752170236
"72","GB50866",120,97,134,297,173,193,153,328,332,288,231,413,-0.652437818021909,4.79141132088817,-3.56219110781235,0.00327835510688669,0.906423473791415,-3.84615391185928
"73","GB50924",217,199,283,458,225,310,318,902,613,440,347,530,-0.708456205894739,5.5910744180131,-4.24012268626128,0.000885074712032061,0.906423473791415,-3.64685350978273
"74","GB51063",1042,955,1091,1617,1008,1163,872,1820,2101,2011,1584,3195,-0.518981777343506,7.55477508816562,-2.67897244189947,0.0184070482471951,0.906423473791415,-4.21483128915254
"75","GB51271",177,159,173,258,153,145,109,186,156,140,124,189,0.376725642564631,4.40771853171862,2.88201743428517,0.0124095788939733,0.906423473791415,-4.07066952996636
"76","GB51441",278,289,352,932,298,589,393,991,993,777,599,1292,-0.788733897439251,6.22350732372241,-3.10503079706107,0.00802500411649541,0.906423473791415,-3.99823319939589
"77","GB51478",42,30,50,55,37,37,45,70,98,57,58,81,-0.534120123284398,2.7933171470544,-3.13421524797093,0.00757911778199532,0.906423473791415,-4.23827095287892
"78","GB51481",25,37,44,58,60,53,35,79,158,67,87,122,-0.759663299595427,3.00656151529607,-2.69867283808999,0.017718985889667,0.906423473791415,-4.29362349768023
"79","GB51613",151,118,120,201,187,134,89,126,149,113,100,163,0.447722498782962,4.14822014993662,3.09791087079376,0.00813768504684846,0.906423473791415,-4.048076035898
"80","GB52179",180,114,285,648,113,166,390,601,434,274,433,414,-0.859858085042141,5.26127651990515,-2.77790586521127,0.0151962268668511,0.906423473791415,-4.06337980025626
"81","GB52446",202,224,225,501,234,370,294,520,679,430,401,728,-0.66445246404735,5.5953136500103,-3.42005667467778,0.00432890444934874,0.906423473791415,-3.86229269004753
"82","GB52510",98,72,85,112,100,102,89,182,159,121,126,146,-0.371351850244974,3.89292520065194,-3.15662887255116,0.00725349725697158,0.906423473791415,-4.07817585638569
"83","GB52633",21,17,30,33,24,23,25,62,44,39,42,50,-0.653409471585508,2.09520260368108,-3.92366611804989,0.00162395553335582,0.906423473791415,-4.2129583966994
"84","GB52875",37,49,54,59,79,103,51,142,206,114,79,130,-0.751387870970646,3.43119072359131,-2.77322515179597,0.0153349683440441,0.906423473791415,-4.23361635466333
"85","GB53369",90,175,108,236,152,196,29,103,57,66,14,311,1.37820442867684,3.66890629278205,2.87475813206554,0.0125864105870108,0.906423473791415,-4.18800041106225
"86","GB53730",461,458,494,651,349,300,312,443,375,292,290,334,0.527313139426764,5.66649466921517,2.94263166022648,0.0110254589760784,0.906423473791415,-4.00352718223436
"87","GB53751",30,42,40,53,56,48,18,34,24,35,37,39,0.682850360917479,2.28266694302787,3.13966947827726,0.00749856395241525,0.906423473791415,-4.28902517568779
"88","GB54123",178,132,259,290,201,188,118,530,432,364,379,496,-0.643696252787825,5.13416601339103,-2.80906061400459,0.014303571784471,0.906423473791415,-4.04952581029019
"89","GB54139",53,20,85,118,80,135,94,188,192,167,108,274,-1.01249351143225,3.80947677734871,-3.41091592650624,0.00440707657762355,0.906423473791415,-4.04834354569366
"90","GB54723",29,17,26,45,50,77,42,65,128,92,64,119,-0.957344181688728,2.83411025699416,-3.0775939925523,0.00846794128992807,0.906423473791415,-4.24551561626878
"91","GB54729",37,27,39,29,48,33,23,23,40,18,21,27,0.64381065748783,1.97201181652881,2.70403059219707,0.0175362324305897,0.906423473791415,-4.37365822367793
"92","GB54988",50,19,86,38,54,54,47,184,144,71,168,75,-1.01388205482156,3.18199735814355,-2.94230508296857,0.0110324921303804,0.906423473791415,-4.23036526544028
"93","GB55074",183,104,231,284,243,349,211,517,442,284,301,400,-0.499741236930918,5.17582727159057,-2.74323661503304,0.0162537049938803,0.906423473791415,-4.06670497300202
"94","GB55202",18,30,7,45,24,50,32,65,70,94,37,72,-1.08463169234315,2.32746180513404,-2.74429451142977,0.0162203986521303,0.906423473791415,-4.34568231660614
"95","GB55219",335,180,468,562,348,467,324,724,721,641,458,807,-0.509996465751843,5.94200682432112,-2.72640262183941,0.0167927695572763,0.906423473791415,-4.08939289350476
"96","GB55396",482,260,600,731,501,407,334,735,1464,852,1347,1798,-0.855110263032442,6.46910781529308,-2.9051641994816,0.0118619089536323,0.906423473791415,-4.07642788135531
"97","GB55561",431,295,333,489,287,272,271,337,267,202,282,273,0.497245372702945,5.32634424988206,2.94970825946487,0.0108741399102644,0.906423473791415,-3.99281342715446
"98","GB55587",339,185,349,581,324,450,407,705,584,444,477,901,-0.5365755669854,5.87533459208377,-3.23526362006249,0.00621756914264765,0.906423473791415,-3.92884238665915
"99","GB55593",200,247,189,437,327,238,69,166,95,79,25,473,1.45262133487828,4.42290351194529,3.32657984437021,0.00519872792819865,0.906423473791415,-3.98252968094609
"100","GB55997",17,9,73,104,71,91,36,166,225,188,134,149,-1.36451934574277,3.34460970880367,-2.78759471974742,0.0149129297709997,0.906423473791415,-4.24734801179653
