"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"33","GB45396",8,23,32,22,17,19,28,40,48,22,14,33,-0.849157631590549,1.79638009466403,-3.8650556719688,0.00177398512651112,0.729381173335685,-4.24552406744374
"34","GB45609",1092,1068,1366,599,1016,864,564,487,381,187,181,296,1.4544653762352,6.3544088749471,4.68933902740622,0.000366317734955119,0.729381173335685,-3.53336194750434
"35","GB45796",1191,581,2774,2665,251,706,7122,1961,5928,11287,908,8904,-2.34401974004223,8.26132080521867,-3.12017418911766,0.00767530455187534,0.729381173335685,-4.13667729566846
"36","GB45797",28,87,196,135,21,147,756,859,200,541,52,375,-2.35408692993747,4.55985328301856,-3.37526242254093,0.00464101088284546,0.729381173335685,-3.93751405137991
"37","GB45881",306,976,531,639,590,529,381,498,409,265,277,451,0.381739805275875,6.06828799837496,3.08909888423952,0.00815995982639237,0.729381173335685,-3.90788877209122
"38","GB45883",63,293,134,166,149,146,108,101,123,57,62,88,0.529821711448867,4.04222183847981,3.18698005703915,0.00672815420468913,0.729381173335685,-4.00174646131814
"39","GB45947",140,285,362,289,300,217,288,334,381,191,190,418,-0.397256114114628,5.31349255372801,-2.99345368909559,0.00985030200034664,0.729381173335685,-3.90894386272184
"40","GB45978",184,397,417,376,341,264,338,397,461,266,269,510,-0.412931318110639,5.64168579859792,-3.44036452783007,0.00408202771390113,0.729381173335685,-3.75622270788006
"41","GB46071",138,923,310,380,325,323,230,264,222,147,149,148,0.651157813165961,5.21936462735687,2.98514530695494,0.0100125413870518,0.729381173335685,-3.92961891266784
"42","GB46226",620,2237,2240,1797,1669,1054,1565,2484,1905,1609,1450,2065,-0.569022799341905,7.90375163727179,-3.40587971843093,0.00436913642248571,0.729381173335685,-4.02863964505993
"43","GB46227",2257,7177,5342,4100,4136,3128,7218,6896,5005,4482,3707,5582,-0.629039936453555,9.42071514773732,-3.38820449972193,0.00452407442852598,0.729381173335685,-4.17441187117632
"44","GB46230",2036,7350,9548,7523,5219,3457,6896,11258,9330,5699,4476,9675,-0.779774461011728,9.83991633163439,-3.84511531952829,0.00184437070169904,0.729381173335685,-4.14194018155639
"45","GB46492",56,279,110,111,159,170,60,80,78,49,73,71,0.772943534852909,3.79975456333815,3.15307262737008,0.00719336694735178,0.729381173335685,-4.05886159667774
"46","GB46760",119,295,299,219,257,157,253,287,315,164,157,409,-0.459576807208779,5.08422182993708,-3.39860367969555,0.00443226093142286,0.729381173335685,-3.77693230853142
"47","GB47028",138,410,350,351,351,236,410,362,432,212,207,465,-0.417940712157897,5.50635769450566,-3.52320646160767,0.00346748099217326,0.729381173335685,-3.7248695413476
"48","GB47046",137,332,352,318,287,207,346,286,647,206,262,501,-0.641104607224099,5.46272140876547,-3.87402292677427,0.00174322976081253,0.729381173335685,-3.61641138270412
"49","GB47215",4,41,18,35,23,13,7,14,11,8,2,8,1.08032713793439,0.816329646055716,3.03946054759821,0.00899786390739577,0.729381173335685,-4.41398025598677
"50","GB47304",435,1061,1262,1164,1202,640,1257,1470,1320,762,595,1728,-0.529884742670805,7.19925347584794,-3.2874822050863,0.00551827243674149,0.729381173335685,-3.97763616695595
"51","GB47337",203,498,611,405,374,303,462,582,611,325,310,697,-0.556039682396852,5.95901236036853,-4.1975114342588,0.000931512381822231,0.729381173335685,-3.55279824235188
"52","GB47415",269,720,682,723,603,478,750,928,613,460,459,650,-0.414155524380396,6.42707602471232,-2.98147315123693,0.010085086857196,0.729381173335685,-3.97558900614979
"53","GB47565",838,2381,2685,3895,2321,1160,3320,5519,2728,1589,2183,3758,-0.824843836858864,8.46253446049826,-3.62726358461748,0.00282584452232272,0.729381173335685,-4.04229951410673
"54","GB47667",114,398,177,209,233,233,128,177,147,97,95,129,0.536250929451905,4.58959536030239,3.09364017486666,0.00808728150881781,0.729381173335685,-3.94320832440427
"55","GB48256",286,809,1006,775,683,378,795,1000,1256,454,419,815,-0.505805857522605,6.60708252339962,-3.21128727939485,0.00641322506885214,0.729381173335685,-3.92459340265
"56","GB48409",33,280,113,146,134,71,66,94,69,36,39,78,0.670287271225265,3.56435869476939,2.97707509991722,0.0101726562706842,0.729381173335685,-4.1375435477543
"57","GB48604",112,611,280,261,293,243,171,261,157,117,120,154,0.555672991326858,4.9139454183352,3.00982425901943,0.00953819666270191,0.729381173335685,-3.93598502748908
"58","GB48980",442,1139,2099,1720,946,518,2197,2575,1758,925,761,1587,-0.840602328194613,7.47513260936101,-3.21336999434702,0.0063869347941975,0.729381173335685,-4.02923511564112
"59","GB49239",68,168,97,136,94,69,111,158,240,69,82,135,-0.547153445541729,4.0216232762194,-3.28293584651235,0.00556798400232722,0.729381173335685,-3.97025688402311
