"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"36","GB51653",13757,61707,69481,39643,59027,21931,15395,21733,6488,9239,17839,6726,1.32308922841093,11.5894514413372,4.47450836027552,0.000557698258356124,0.288789262819004,-0.802185357271722
"37","GB52317",200,446,462,525,1359,948,88,22,86,91,299,123,2.29879465961951,5.0427987907059,4.14947467297959,0.00103565952840026,0.288789262819004,-0.623796233541553
"38","GB52618",223,366,722,393,455,255,171,276,132,149,192,94,0.835695230339957,5.16793267568313,4.04116498963819,0.00127579900412713,0.288789262819004,-0.761387633347899
"39","GB52844",69,145,209,106,143,103,52,46,40,46,85,50,0.867801579024826,3.55050226212685,4.42218026680448,0.000615677209171509,0.288789262819004,-0.306567141602135
"40","GB53722",62,108,143,166,125,137,127,167,87,100,211,156,-0.594809972930292,4.21962017082248,-4.27818236674176,0.00080948906308721,0.288789262819004,-0.405076408072065
"41","GB53756",186,479,294,314,1045,389,51,44,70,65,131,46,2.2959621497184,4.52383545704219,5.87332223954748,4.50245147734362e-05,0.288789262819004,1.79066530790002
"42","GB54893",547,756,1214,604,888,578,281,311,174,259,498,359,0.935479120931314,6.10374438096845,4.63034586479881,0.000416172151781467,0.288789262819004,0.188885998761999
"43","GB54976",218,375,461,504,418,472,425,548,284,305,662,428,-0.480815474862091,5.9075615357897,-4.04300283051778,0.00127128169872779,0.288789262819004,-0.753862057117637
"44","GB54980",14,23,32,27,31,24,26,53,20,18,43,42,-0.7755039564729,2.04056983629641,-4.08713251412943,0.0011675903925082,0.288789262819004,-1.14937763399009
"45","GB55296",53,120,133,126,113,151,122,200,87,79,171,143,-0.602765729803278,4.12439617304877,-4.45673468675801,0.00057673224302917,0.288789262819004,-0.135209550167547
"46","GB55369",368,791,1188,1119,766,737,803,1530,637,863,1066,1101,-0.705269918505239,6.98834947456058,-4.96302683991094,0.000224965553177713,0.288789262819004,0.630427473665759
"47","GB55736",65,115,352,166,205,106,39,108,34,40,59,64,1.08367243935788,3.69610909763498,4.24923515686264,0.000855492554941208,0.288789262819004,-0.543865050396847
"48","GB55788",20,26,28,31,33,25,26,54,29,26,64,34,-0.880468381390929,2.22086671467729,-4.13546344669862,0.00106391524532885,0.288789262819004,-1.03280183690315
"49","GB55161",90,176,217,225,192,232,202,237,181,161,243,201,-0.538999873851571,4.81333687929996,-3.98915171183869,0.0014106854235833,0.290831513245685,-0.846291646900618
"50","GB46705",1380,4677,4983,3123,4903,2208,1505,2470,732,1106,2239,1000,0.84292834929087,8.26860107419628,3.96543474060378,0.00147694564207204,0.29103567645109,-1.00210759255534
