"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"24","GB47521",1422,1376,1445,1250,2036,1836,3451,2132,1672,2283,2207,2262,-0.662815905289492,7.97710397310715,-3.66308155550999,0.00267304298108602,0.876827812672625,-4.07928151297052
"25","GB47662",511,278,297,482,360,756,947,1047,372,548,628,783,-0.787231072199966,6.17124594256966,-3.98039193801118,0.00144280559357847,0.876827812672625,-3.82578554649201
"26","GB47838",90,41,46,57,62,104,284,148,49,154,63,98,-0.927566145536995,3.50723024001639,-3.40892211471039,0.0043972108035574,0.876827812672625,-4.0993846686136
"27","GB48684",76,51,45,63,53,72,40,54,9,22,23,55,0.884531901587781,2.48620738286473,3.46264737451549,0.00395733155165425,0.876827812672625,-4.22821904744756
"28","GB48881",620,524,552,541,1099,1785,2561,2124,793,2936,1298,821,-1.13755768339543,7.186316685118,-3.49636267087154,0.00370419580191008,0.876827812672625,-4.04185683132254
"29","GB48897",16,9,4,5,10,20,42,15,9,34,10,36,-1.20626455054057,0.937471170361245,-3.32798643697217,0.0051544633467451,0.876827812672625,-4.38537997168711
"30","GB49689",116,57,219,37,499,292,57,27,24,68,7,19,2.37251219077489,3.05675128079666,3.68649184724505,0.00255361249628483,0.876827812672625,-4.14804474711126
"31","GB50000",173,85,129,168,113,231,334,322,131,189,182,298,-0.764592479399544,4.60706083549856,-4.44428910717438,0.000594658509265565,0.876827812672625,-3.70727426459306
"32","GB50121",8038,5555,4029,5323,6892,11405,15007,16018,5754,13508,12522,8802,-0.896328849128919,10.1699974852267,-3.54095180004186,0.00339430809238779,0.876827812672625,-4.24339818199917
"33","GB50453",2039,915,1262,1616,1178,2960,7487,3636,1301,2072,1866,2597,-0.862202590254979,8.08951456108115,-3.45923713479552,0.00398388744127695,0.876827812672625,-4.12376325731909
"34","GB50669",24,20,18,8,23,24,50,66,22,19,29,53,-1.02676945547065,1.81910509885539,-3.48275615126832,0.00380432883442267,0.876827812672625,-4.29654009111092
"35","GB50702",17,22,15,5,14,29,74,35,14,30,29,29,-1.10922631307688,1.58118611031838,-3.46733175001244,0.00392114427382128,0.876827812672625,-4.32122672513765
"36","GB50865",114,71,46,56,105,164,352,204,86,168,172,150,-1.09018806388241,4.02917689533034,-4.47854897159138,0.00055746447703741,0.876827812672625,-3.81870427456619
"37","GB50965",24,13,23,21,26,29,23,15,5,10,9,19,0.726767195955117,1.17756696316843,3.39988011937305,0.00447593827467644,0.876827812672625,-4.35956519523313
"38","GB51121",143,82,76,73,96,162,77,49,44,50,65,89,0.689409783902614,3.39646934642996,3.57127897988841,0.00319862238971933,0.876827812672625,-4.08286425273452
"39","GB51697",242,137,155,100,175,272,568,228,123,215,222,353,-0.648881886183071,4.81071017730862,-3.65444137806114,0.00271853901676376,0.876827812672625,-3.85952733571338
"40","GB51698",2318,754,1522,1034,1048,2749,5509,13266,1809,13131,2884,4225,-1.98740040592221,8.51871872389438,-4.94002560258664,0.000236712539438577,0.876827812672625,-3.95721446490208
"41","GB51741",1186,884,517,832,1059,1551,2531,1758,1054,1769,1546,1406,-0.866226787109443,7.384378168495,-3.96781880599589,0.00147829056170758,0.876827812672625,-3.97250002053582
"42","GB51909",52,42,15,42,32,19,0,6,4,1,23,7,2.89950639384494,0.58231046378843,3.57523568539236,0.0031739466997123,0.876827812672625,-4.39182803188787
"43","GB52642",1696,887,1274,1341,2100,3603,4790,2832,1264,2828,2512,3154,-0.809542696820269,8.14475153742305,-3.89797901834075,0.00169227280490491,0.876827812672625,-4.05389376230027
"44","GB52992",484,316,282,441,228,283,143,175,123,70,167,292,1.10343416034491,4.89186954218547,3.36407889814408,0.00480181370464156,0.876827812672625,-3.94804955748958
"45","GB53385",440,329,371,287,535,987,2095,1849,219,1176,1008,767,-1.15231501264102,6.46387114279475,-3.42219446090393,0.00428416505611113,0.876827812672625,-3.98924903372184
"46","GB54056",198,115,215,217,330,410,605,439,155,450,287,428,-0.742249788772241,5.27960466983726,-3.65015721899202,0.00274138803635621,0.876827812672625,-3.84565922526761
"47","GB55300",389,240,227,219,306,551,953,768,252,469,781,503,-0.998977407726489,5.80750995880746,-4.41481348960974,0.000628703508632513,0.876827812672625,-3.69926561860774
"48","GB55515",4698,2575,2707,2969,2588,5157,6772,12281,4507,10609,6880,5260,-1.24510736073328,9.36198232720847,-4.44159317972241,0.000597691850934649,0.876827812672625,-4.08235896670899
"49","GB55545",101,59,27,32,44,104,109,222,88,159,155,99,-1.28762088400233,3.50814675631016,-3.3835348711313,0.00462186749138873,0.876827812672625,-4.11286799369173
"50","GB55717",549,452,370,338,557,822,903,754,416,789,658,681,-0.576258439849723,6.28533766146342,-3.4175702179516,0.00432321585091725,0.876827812672625,-3.96756448702822
